Abbreviations,ActiveTime,Currentname,HeadQuarters,LogoDates,Logos,Names,OwnerDate,Owners,Popularevents,SocialMedia,Televisionshows,Website
Kamicazes del Ring,2016 - today,Kamicazes del Ring,"Mexico City, Distrito Federal, Mexiko",Kamicazes del Ring,/site/main/img/ligen/small/1845.gif,Kamicazes del Ring (2016 - today),,,,"https://twitter.com/kamicazes_ring,https://www.facebook.com/Kamicazes-Del-Ring-176924379376896",,
KPW,2001 - 2005,Kentuckiana Pro Wrestling,"Brandenburg, Kentucky, USA",,,Kentuckiana Pro Wrestling (2001 - 2005),,,,,,
Kaizen,2019 - today,Kaizen Pro Wrestling,"Dartmouth, Nova Scotia, Canada",Kaizen Pro Wrestling,/site/main/img/ligen/small/2575.gif,Kaizen Pro Wrestling (2019 - today),,,,"https://twitter.com/kaizenpw,https://www.facebook.com/kaizenprowrestling",,
KWA,2018 - today,Kansas Wrestling Alliance,"Kansas, USA",Kansas Wrestling Alliance,/site/main/img/ligen/small/3257.gif,Kansas Wrestling Alliance (2018 - today),,,,https://www.facebook.com/kansaswrestlingalliance/,,
KCXW,2013 - today,Kansas City Xtreme Wrestling,"Kansas City, Missouri, USA",Kansas City Xtreme Wrestling,/site/main/img/ligen/small/2943.gif,Kansas City Xtreme Wrestling (2013 - today),,Jordan Smiley (2013 - today),,"http://kcwrestling.com/,https://www.facebook.com/KCXWrestling/,https://twitter.com/kcx_wrestling,https://www.instagram.com/kcxwrestling/,https://www.youtube.com/user/KCanthem/,https://www.youtube.com/channel/UCy_htF5V_9p76pelzkod80g/",,
KFW,2006 - today,KFW Wrestling,"Sevierville, Tennessee, USA",KFW Wrestling,/site/main/img/ligen/small/2239.gif,KFW Wrestling (2006 - today),,Tommy Henry (2006 - today),,"https://www.facebook.com/KFWWrestlingEvents/,https://twitter.com/kfw_wrestling",,
KAPOW (2002-2002),2002,KAPOW! Wrestling,"Philadelphia, Pennsylvania, USA",,,KAPOW! Wrestling (2002),,,,,,
JW,2004 - 2005,Just Wrestling,"Surrey, British Columbia, Canada",,,Just Wrestling (2004 - 2005),,"Shaun Lafleur (2004 - 2005),Vance Nevada, (2004 - 2005)",,,,
KYDA Pro,1998 - today,KYDA Pro Wrestling,"Morgantown, West Virginia, USA",KYDA Pro Wrestling,/site/main/img/ligen/small/2737.gif,KYDA Pro Wrestling (1998 - today),,"Jimmy Z, (1998 - today)",,"https://www.facebook.com/pg/KYDAPro,https://www.kydapro.com",,
KAOZ,2018 - today,KAOZ Lucha Libre,"Apodaca, Nuevo Leon, Mexiko"," (2021 - today), (2018 - 2020)","/site/main/img/ligen/small/2131__2021-.gif,/site/main/img/ligen/small/2131__2018-2020.gif",KAOZ Lucha Libre (2018 - today),,Alfonso Botello (2018 - today),,"https://www.facebook.com/kaozluchalibremx/,https://www.youtube.com/channel/UCMyXu72cocoYtQsUzzjW31A",,
Kaiju,2017 - 2020,Kaiju Attack Wrestling,"Illinois, USA",Kaiju Attack Wrestling,/site/main/img/ligen/small/2519.gif,Kaiju Attack Wrestling (2017 - 2020),,"DDS, (2017 - 2020)",,"https://www.instagram.com/kaijuattackwrestling/,https://www.youtube.com/c/KaijuAttackWrestling",,
Jordan Promotions,,Jordan Promotions,"Birmingham, Alabama, USA",,,Jordan Promotions ( - 1939),,"Chris Jordan, ( - 1939)",,,,
Journey Pro,2018 - today,Journey Pro,"Kansas City, Missouri, USA",Journey Pro,/site/main/img/ligen/small/2369.gif,Journey Pro (2018 - today),,,,"https://www.journeyprokc.com,https://www.facebook.com/journeyprokc,https://twitter.com/journeyprokc,https://www.instagram.com/journeyprokc",,
JCW,2017 - today,Junction City Wrestling,"	Toronto, Ontario, Canada",Junction City Wrestling,/site/main/img/ligen/small/3159.gif,Junction City Wrestling (2017 - today),,,,"https://www.facebook.com/wrestlejunction,https://www.youtube.com/c/JunctionCityWrestling",,
Johnston Enterprises (1912-25.11.1956),1912 - 25.11.1956,Johnston Enterprises,"New York City, New York, USA",,,Johnston Enterprises (1912 - 25.11.1956),,"Jimmy Johnston (1912 - 1946),Bill Johnston & Charley Johnston (1946 - 1949),Bill Johnston & ,Toots Mondt, (1949 - 25.11.1956)",,,,
"JCP, MACW, ESCW","1931 - 1988, 2022",Jim Crockett Promotions,"Nashville, Tennessee, USA","Jim Crockett Promotions,NWA World Wide Wrestling ,NWA World Championship Wrestling ","/site/main/img/ligen/small/293.gif,/site/main/img/ligen/small/293_NWA World Wide Wrestling.gif,/site/main/img/ligen/small/293_NWA World Championship Wrestling.gif","Jim Crockett Promotions (2022 - today),Mid-Atlantic Championship Wrestling (1973 - 1988),Jim Crockett Promotions (1952 - 1973),Eastern States Championship Wrestling (1931 - 1952)",,"Conrad Thompson & ,David Crockett, (2022 - today),Jim Crockett Jr., (1973 - 1988),Jim Crockett Sr., (1931 - 1973)","Starrcade,The Great American Bash",,"MACW TV,World Wide Wrestling,World Championship Wrestling",
JCW,2000 - today,Jonquiere Championship Wrestling,"Jonquière, Quebec, Canada",Jonquiere Championship Wrestling,/site/main/img/ligen/small/2168.gif,Jonquiere Championship Wrestling (2000 - today),,,,"https://www.facebook.com/luttejcw,http://www.jcwlutte.ca/",,
JCP,2017 - today,Joe Cazana Promotions,"Tennessee, USA",Joe Cazana Promotions,/site/main/img/ligen/small/3070.gif,Joe Cazana Promotions (2017 - today),,"Joe Cazana, (2017 - today)",,"https://www.facebook.com/JoeCazanaPromotions,https://www.instagram.com/joe_cazana_promotionstn/",,
JPCW,2016 - 2018,Jersey Premiere Championship Wrestling,"Toms River, New Jersey, USA",Jersey Premiere Championship Wrestling,/site/main/img/ligen/small/1775.gif,Jersey Premiere Championship Wrestling (2016 - 2018),,,,https://www.facebook.com/ProWArena/timeline,,
,1900 - 1934,John Krone Promotions,"Chicago, Illinois, USA",,,John Krone Promotions (1900 - 1934),,John Krone (1900 - 1934),,,,
JLW,2010,Jersey Live Wrestling,"New Jersey, USA",Jersey Live Wrestling,/site/main/img/ligen/small/655.gif,Jersey Live Wrestling (2010),,Mike Fortunato (2010 - 2010),,,,
Jim Henry Promotions,1956 - 19xx,Jim Henry Promotions,"Denver, Colorado, USA",,,Jim Henry Promotions (1956 - 19xx),,"Jim Henry, (1956 - 19xx)",,,,
"JSCW, JSW",2008 - 2012,Jersey Shore Championship Wrestling,"New Jersey, USA",Jersey Shore Championship Wrestling,/site/main/img/ligen/small/789.gif,"Jersey Shore Championship Wrestling (2011 - 2012),Jersey Shore Wrestling (2008)",,"Fat Frank, (2008 - 2012)",,https://www.youtube.com/user/jscwrestling,,
,1932 - 1940,Jack Price Jones Promotions,"Nashville, Tennessee, USA",,,Jack Price Jones Promotions (1932 - 1940),,"Jack Price Jones & ,Dick Lever, (1932 - 1940),Walter Ullman (1932 - 1940)",,,,
Jack Pfefer Promotions,1924 - 1967,Jack Pfefer Promotions,"New York City, New York, USA",,,Jack Pfefer Promotions (1924 - 1967),,"Jack Pfefer, (1924 - 1967)",,,,
Jack Curley Promotions,1907 - 1937,Jack Curley Promotions,"New York City, New York, USA",,,Jack Curley Promotions (1907 - 1937),,"Jack Curley, (1907 - 1937)",,,,
"JWA, JWA-United",2001 - 2010,JWA-United Professional Wrestling,"New Jersey, USA",JWA-United Professional Wrestling,/site/main/img/ligen/small/2396.gif,"JWA-United Professional Wrestling (2007 - 2010),JWA Wrestling Alliance (2001 - 2007)",,"Joe Rules, (2001 - 2010)",,,,
IHPW,2021 - today,Iron Heart Pro Wrestling,"Rosemount, Minnesota, USA",Iron Heart Pro Wrestling,/site/main/img/ligen/small/3119.gif,Iron Heart Pro Wrestling (2021 - today),,"Kaitlin Diemond, (2021 - today)",,"https://www.IronHeartPW.com,https://www.facebook.com/IronHeartPW1/,https://www.facebook.com/IronHeartPW/,https://twitter.com/IronHeartPW,https://www.instagram.com/IronHeartPW/,https://www.tiktok.com/@ironheartpw,https://youtube.com/c/ironheartwrestling",,
Iron Spirit Pro,2018 - today,Iron Spirit Pro,"Normal, Illinois, USA",Iron Spirit Pro,/site/main/img/ligen/small/2384.gif,Iron Spirit Pro (2018 - today),,,,"https://www.facebook.com/IronSpiritPro,https://twitter.com/ironspiritpro,https://instagram.com/ironspiritpro,https://www.youtube.com/channel/UCk_OCIccIpf-59-MW1rNSsA",,
JR Promotions,,JR Promotions,"Baja California, Mexiko",,,JR Promotions ( - today),,,,,,
Invasion Indy,2017 - today,Invasion Indy,"Ciudad Nezahualcoyotl, Estado de Mexico, Mexiko",Invasion Indy,/site/main/img/ligen/small/2241.gif,Invasion Indy (2017 - today),,,,,,
Invasion RCH,2013 - 2017,Invasion RCH,"Naucalpan de Juarez, Estado de Mexico, Mexiko",Invasion RCH,/site/main/img/ligen/small/1058.gif,Invasion RCH (2013 - 2017),,Ricardo Castro Hernandez (2013 - 2017),,https://www.facebook.com/InvasionRch,,
ICW,2013 - today,Invasion Championship Wrestling,"Kelowna, British Columbia, Canada",Invasion Championship Wrestling,/site/main/img/ligen/small/1800.gif,Invasion Championship Wrestling (2013 - today),,Mike Rizzo & Mike Chisholm (2013 - today),,"https://www.facebook.com/kelownainvasion/,http://www.kelownainvasion.com/,https://twitter.com/kelownainvasion",,
Invictus,2020 - today,Invictus Pro Wrestling,"New Jersey, USA",Invictus Pro Wrestling,/site/main/img/ligen/small/2942.gif,Invictus Pro Wrestling (2020 - today),,Alex Accetta (2020 - 2021),,"https://twitter.com/INVICTUSProWre1,https://facebook.com/InvictusProWrestling,https://instagram.com/invictusprowrestling,https://youtube.com/channel/UCECcYTqfQHPZzcaalX7Crbw",,
I-8,2002 - 2004,Interstate 8 Promotions,"Willowbrook, Illinois, USA",,,Interstate 8 Promotions (2002 - 2004),,The Drake Brothers (2002 - 2004),,,,
IWL,2010 - today,International Wrestling League,"Tlalnepantla, Estado de Mexico, Mexiko",International Wrestling League,/site/main/img/ligen/small/695.gif,"International Wrestling League (06.2011 - today),Independent Wrestling League (2010 - 06.2011)",,Martin Amaro (2010 - today),"Aniversario,Regalo de Navidad",https://www.facebook.com/IWL.OFICIAL,IWL TV,
IWF,2014 - 2015,International Wrestling Federation ,"Arizona, USA",International Wrestling Federation ,/site/main/img/ligen/small/1285.gif,International Wrestling Federation  (2014 - 2015),,,,"http://www.iwflive.com/,https://www.facebook.com/IWFWRESTLING,https://twitter.com/WeAreIWF,http://www.youtube.com/user/WeAreIWF",,
International Wrestling Enterprises,1962 - 1964,International Wrestling Enterprises,"El Paso, Texas, USA",,,International Wrestling Enterprises (1962 - 1964),,Albert Armendariz & Ray Gardea (1962 - 1964),,,,
IWF,1979 - 1996,International Wrestling Federation,"Reading, Massachusetts, USA",,,International Wrestling Federation (1979 - 1996),,"Killer Kowalski, (1979 - 1996)",,,,
IWP,xxxx - 1973,International Wrestling Promotion ,"Madison, Wisconsin, USA",,,International Wrestling Promotion  (xxxx - 1973),,Jimmy Demetral (xxxx - 1973),,,,
IWA,1975 - 1977,International Wrestling Association,"Cleveland, Ohio, USA",International Wrestling Association,/site/main/img/ligen/small/1936.gif,International Wrestling Association (1975 - 1977),,"Eddie Einhorn (1975),Pedro Martinez, (1975 - 1977),Ron Martinez (1975 - 1977)",,,,
IWA,1989 - today,International Wrestling Association ,"Girard, Ohio, USA",International Wrestling Association ,/site/main/img/ligen/small/2260.gif,International Wrestling Association  (1989 - today),,"Rob Russen, (1989 - 2021)",,https://www.facebook.com/IWA-Championship-Wrestling-360319740690581,,
IWA,1988 - 2019,International Wrestling Alliance  ,"Columbus, Ohio, USA",International Wrestling Alliance  ,/site/main/img/ligen/small/2324.gif,International Wrestling Alliance   (1988 - 2019),,Bull Miller (1988 - 2019),,https://www.facebook.com/IWAProWrestling/,,
IWA Montreal,1965 - 1975,International Wrestling Association Montreal,"Montreal, Quebec, Canada",,,International Wrestling Association Montreal (1965 - 1975),,"Bob Langevin, & ,Johnny Rougeau, (1965 - 1975)",,,,
"International Wrestling, Varoussac",1980 - 1987,International Wrestling,"Montreal, Quebec, Canada",International Wrestling,/site/main/img/ligen/small/535.gif,"International Wrestling (01.01.1983 - 1987),Varoussac Promotions (1980 - 31.12.1982)",,"Dino Bravo,, ,Frank Valois, & ,Gino Brito, (1983 - 1987),Andre The Giant,, ,Frank Valois, & ,Gino Brito, (1980 - 1982)",,,,
ISW,1994 - 1995,International Stars Of Wrestling,"Victoria, British Columbia, Canada",,,International Stars Of Wrestling (1994 - 1995),,,,,,
"IWCCW, ICW",1984 - 1995,International World Class Championship Wrestling,"Boston, Massachusetts, USA",International World Class Championship Wrestling,/site/main/img/ligen/small/407.gif,"International World Class Championship Wrestling (1991 - 1995),International Championship Wrestling   (1984 - 1991)",,"Joe Savoldi, (1990 - 1995),Angelo Savoldi, (1984 - 1990)",,,,
IPW,1996,International Pro Wrestling ,"Asheville, North Carolina, USA",International Pro Wrestling ,/site/main/img/ligen/small/2326.gif,International Pro Wrestling  (1996),,"Al Getz, (1996 - 1996)",,,,
"International Wrestling, TCW, ESA",1969 - 1984,International Wrestling ,"Halifax, Nova Scotia, Canada",International Wrestling ,/site/main/img/ligen/small/2018.gif,"International Wrestling  (1984),Trans-Canada Wrestling (1977),Eastern Sports Association (1969 - 1977)",,"Al Zinck, ,Bobby Kay, & ,Rudy Kay, (1969 - 1977),Bobby Kay, & ,Rudy Kay, (1977),Al Zinck (1984)",,,,
IPW,1996 - 2004,International Pro Wrestling,"Harrisburg, Pennsylvania, USA",International Pro Wrestling,/site/main/img/ligen/small/2089.gif,International Pro Wrestling (1996 - 2004),,"Brick Bronsky, & ,Doug Flex, (1996 - 2004)",,,,
"ICS, SCW",2014 - today,International Combat Sports,"Charleston, West Virginia, USA",International Combat Sports,/site/main/img/ligen/small/2140.gif,"International Combat Sports (11.11.2017 - today),Savage Championship Wrestling (2014 - 11.11.2017)",,JL Kyle (2014 - today),,"http://www.icswrestling.com/,https://www.facebook.com/InternationalCombatSports/,https://twitter.com/ICSProWrestling,https://www.youtube.com/c/ICSWrestlingTV,https://www.instagram.com/ics_wrestling/",,
ICWA,1989 - 1995,International Championship Wrestling Alliance,"Florida, USA",,,"International Championship Wrestling Alliance (1989 - 1995),Intercontinental Championship Wrestling Alliance (1989 - 1995)",,"Ron Slinker, (1989 - 1995)",,,,
IHPW,2001 - 2004,International High Powered Wrestling,"Paramus, New Jersey, USA",International High Powered Wrestling,/site/main/img/ligen/small/2753.gif,International High Powered Wrestling (2001 - 2004),,Peter Ferriero (2001 - 2004),,,,
ICW,2012,International Championship Wrestling  ,"Fort Sill, Oklahoma, USA",International Championship Wrestling  ,/site/main/img/ligen/small/1295.gif,International Championship Wrestling   (2012),,,,,,
ICW,1978 - 1984,International Championship Wrestling ,"Lexington, Kentucky, USA",International Championship Wrestling ,/site/main/img/ligen/small/406.gif,International Championship Wrestling  (1978 - 1984),,"Angelo Poffo, (1978 - 1984)",,http://www.freewebs.com/icwpoffouniverse/,,
ICW,1996 - 2002,International Championship Wrestling   ,"Cloverdale, British Columbia, Canada",,,International Championship Wrestling    (1997 - 2002),,"Timothy Flowers, (1997 - 2002)",,,,
IBW,2007 - today,International Bigtime Wrestling,"Michigan, USA",International Bigtime Wrestling,/site/main/img/ligen/small/2895.gif,International Bigtime Wrestling (2007 - today),,"Rude Boy, (2007 - today)",,"http://ibwdetroit.weebly.com,https://www.facebook.com/International-Bigtime-Wrestling-Fans-272722159052",,
ICW,1986 - 2012,International Championship Wrestling,"Missouri, USA",International Championship Wrestling,/site/main/img/ligen/small/366.gif,International Championship Wrestling (1986 - 2012),,,,,,
IGB,2018 - today,Intergender Bonanza,"Williamstown, New Jersey, USA","Intergender Bonanza, (2018 - 08.2020)","/site/main/img/ligen/small/2694.gif,/site/main/img/ligen/small/2694__2018-202008.gif","Intergender Bonanza (2020 - today),The Stan Stylez Intergender Bonanza (2018 - 2020)",,"Stan Stylez, (2018 - today)",,"https://www.facebook.com/intergenderbonanza,https://twitter.com/igbonanza",,
IWA,2008 - 2014,Intercontinental Wrestling Association,"Savage, Minnesota, USA",Intercontinental Wrestling Association,/site/main/img/ligen/small/2346.gif,Intercontinental Wrestling Association (2008 - 2014),,"Dustin Franz (2013 - 2014),Dan Souprano (2008 - 2011)",,,,
ICW,1996,Intercontinental Championship Wrestling,"Tennessee, USA",,,Intercontinental Championship Wrestling (1996),,,,,,
IPW,2001 - 2012,Insanity Pro Wrestling,"Indianapolis, Indiana, USA",Insanity Pro Wrestling,/site/main/img/ligen/small/177.gif,Insanity Pro Wrestling (2001 - 2012),,"Greg Carey & Dave Lawson (2012 - 2012),Mike Williams, Al Hay & Greg Carey (2001 - 2011)","Heat Stroke,Insanity Rulz,Reign Of The Insane,Sacrifice,Super Junior Heavyweight Tournament",,,
Inspire Pro,2013 - today,Inspire After Dark,"Austin, Texas, USA","Inspire After Dark, (2021 - today)","/site/main/img/ligen/small/1124.gif,/site/main/img/ligen/small/1124__2021-.gif","Inspire After Dark (2021 - today),Inspire Pro Wrestling (2013 - 2020)",,Max Meehan (2013 - today),"Ecstasy Of Gold,Fade To Black","http://inspireprowrestling.com/,https://www.facebook.com/InspireAfterDark,https://twitter.com/InspireADWres,https://www.youtube.com/user/InspireProVideo",,
IFW,2001,Intense Florida Wrestling,"Sanford, Florida, USA",,,Intense Florida Wrestling (2001),,"John Tenta, (2001 - 2001)",,,,
IWL,2005 - 2016,Insane Wrestling League,"California, USA",Insane Wrestling League,/site/main/img/ligen/small/1160.gif,Insane Wrestling League (2005 - 2016),,Vic Luna (2005 - 2016),New Era,"http://www.theiwl.com,https://www.facebook.com/IWLWrestling,https://twitter.com/insanewl,https://www.youtube.com/user/theslicone,http://www.h8feed.com/IWL/feed",,
IWR,2015 - today,Insane Wrestling Revolution,"Michigan, USA",Insane Wrestling Revolution,/site/main/img/ligen/small/1633.gif,Insane Wrestling Revolution (2015 - today),,"Rhino, (2015 - today)",,https://www.facebook.com/IWRWORLD/,,
IWE,2018 - today,Intense Wrestling Entertainment,"South Carolina, USA",Intense Wrestling Entertainment,/site/main/img/ligen/small/2437.gif,Intense Wrestling Entertainment (2018 - today),,Josh Fields & Tim Blackmon (2018 - today),,"https://twitter.com/IWEPro,www.instagram.com/iwe_prowrestling ",,
IP,2018,Innovative Pro Wrestling,"New Jersey, USA",Innovative Pro Wrestling,/site/main/img/ligen/small/2169.gif,Innovative Pro Wrestling (2018),,,,https://www.facebook.com/INNOVATIVEPROWRESTLING/,,
IWF,2001 - 2008,Insane Wrestling Federation,"Detroit, Michigan, USA",Insane Wrestling Federation,/site/main/img/ligen/small/388.gif,Insane Wrestling Federation (2001 - 2008),,AT Huck & Frantic Frank (2001 - 2008),,,,
"MWCW, ICW",1993 - 2000,Insane Championship Wrestling  ,"Michigan, USA",Insane Championship Wrestling  ,/site/main/img/ligen/small/477.gif,"Insane Championship Wrestling   (xx.06.1996 - xx.xx.2000),Mid-West Championship Wrestling (xx.xx.1993 - xx.05.1996)",,"Malcolm Monroe, (1993 - 2000)",,,,
"Inoki Dojo, NJPW-USA",2003 - 2008,Inoki Dojo,"Santa Monica, California, USA","Inoki Dojo,NJPW-USA ","/site/main/img/ligen/small/141.gif,/site/main/img/ligen/small/141_NJPW-USA.gif","Inoki Dojo (2006 - 2008),NJPW Inoki Dojo (2003 - 2006)",,"Antonio Inoki, (2003 - 2008)",Toukon,,Toukon Fighting Spirit,
"ICW, NWA Insanity",2006 - today,Insane Championship Wrestling ,"Milwaukee, Wisconsin, USA",Insane Championship Wrestling ,/site/main/img/ligen/small/390.gif,"Insane Championship Wrestling  (26.02.2010 - today),National Wrestling Alliance Insanity (20.04.2009 - 25.02.2010),Insane Championship Wrestling  (2006 - 19.04.2009)",,"Dysfunction, (2006 - today)","Insane 8,Hardcore Death Match Challenge,420 Classic,Insane Rumble,Double Header","https://www.facebook.com/icwmilwaukee/,https://twitter.com/ICWMilwaukeeDM,https://www.youtube.com/channel/UC8Dm2WemNDlrTPubWR7qinA/,http://www.myspace.com/i_c_w_milwaukee",,
